,MESS_DATUM,GS_10
278,202111172130,0.0
279,202111172145,0.0
280,202111172200,0.0
281,202111172215,0.0
282,202111172230,0.0
283,202111172245,0.0
284,202111172300,0.0
285,202111172315,0.0
286,202111172330,0.0
287,202111172345,0.0
288,202111180000,0.0
289,202111180015,0.0
290,202111180030,0.0
291,202111180045,0.0
292,202111180100,0.0
293,202111180115,0.0
294,202111180130,0.0
295,202111180145,0.0
296,202111180200,0.0
297,202111180215,0.0
298,202111180230,0.0
299,202111180245,0.0
300,202111180300,0.0
301,202111180315,0.0
302,202111180330,0.0
303,202111180345,0.0
304,202111180400,0.0
305,202111180415,0.0
306,202111180430,0.0
307,202111180445,0.0
308,202111180500,0.0
309,202111180515,0.0
310,202111180530,0.0
311,202111180545,0.0
312,202111180600,0.0
313,202111180615,0.0
314,202111180630,0.0
315,202111180645,0.25
316,202111180700,0.65
317,202111180715,1.45
318,202111180730,3.85
319,202111180745,5.6
320,202111180800,7.1000000000000005
321,202111180815,9.85
322,202111180830,10.45
323,202111180845,10.899999999999999
324,202111180900,7.8
325,202111180915,7.2
326,202111180930,8.7
327,202111180945,9.1
328,202111181000,9.3
329,202111181015,11.0
330,202111181030,11.5
331,202111181045,8.2
332,202111181100,8.7
333,202111181115,9.65
334,202111181130,6.949999999999999
335,202111181145,9.85
336,202111181200,8.45
337,202111181215,3.6
338,202111181230,3.3
339,202111181245,2.9000000000000004
340,202111181300,3.3000000000000003
341,202111181315,3.1500000000000004
342,202111181330,2.55
343,202111181345,1.75
344,202111181400,1.6500000000000001
345,202111181415,1.2000000000000002
346,202111181430,1.0
347,202111181445,0.55
348,202111181500,0.35
349,202111181515,0.15000000000000002
350,202111181530,0.15000000000000002
351,202111181545,0.0
352,202111181600,0.0
353,202111181615,0.0
354,202111181630,0.0
355,202111181645,0.0
356,202111181700,0.0
357,202111181715,0.0
358,202111181730,0.0
359,202111181745,0.0
360,202111181800,0.0
361,202111181815,0.0
362,202111181830,0.0
363,202111181845,0.0
